Id,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,UTILIZATION
fcfe244e-8fd6-3bad-8d9d-c3fcdd174834,KENSINGTON HOSPITAL,136 W DIAMOND STREET,PHILADELPHIA,PA,19122,2154268100,17104
47b1db6e-cc1e-3ea0-9602-7be90a005cdb,CHESTNUT HILL HOSPITAL,8835 GERMANTOWN AVE,PHILADELPHIA,PA,19118,2152488200,18831
897aedbb-71c0-30e0-bfde-54e3401c60c9,TEMPLE UNIVERSITY HOSPITAL,3401 NORTH BROAD STREET,PHILADELPHIA,PA,19140,2157072000,15264
e9d7a929-3b7f-3065-884b-726b76258e82,JEANES HOSPITAL,7600 CENTRAL AVENUE,PHILADELPHIA,PA,19111,2157282000,16585
27c70cad-0e56-3ec9-ba2f-0f913b90247a,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,2156623227,16072
1d119c42-60d9-36a1-839f-f830cad78a2e,ARIA HEALTH,10800 KNIGHTS ROAD,PHILADELPHIA,PA,19114,2156124129,14519
78cd7c69-0354-344c-bd4c-9854d847ef75,ALBERT EINSTEIN MEDICAL CENTER,5501 OLD YORK ROAD,PHILADELPHIA,PA,19141,2154566090,16056
04c62219-faf8-3231-b399-782c9122f35c,THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,PHILADELPHIA,PA,19107,2159556000,15665
01e2510f-374b-30e0-a7a7-169730f7e3ad,NAZARETH HOSPITAL,2601 HOLME AVE,PHILADELPHIA,PA,19152,2153356000,14961
1b87b502-caf4-333d-aa92-7a6ffda83b1a,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA,PA,19104,2156628000,16130
60d7c1cc-fcbd-3be1-bf78-dd7840fa11bb,PENNSYLVANIA HOSPITAL,800 SPRUCE STREET,PHILADELPHIA,PA,19107,2158293000,15915
7bc093d1-5d2c-3b02-a883-726591e1a2b0,HAHNEMANN UNIVERSITY HOSPITAL,230 NORTH BROAD STREET,PHILADELPHIA,PA,19102,2157627000,16145
6c541269-2659-39cf-8e4d-ebea03fad6b1,ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,PHILADELPHIA,PA,19128,2154839900,14032
884167f3-fdc4-3a42-b8b5-c7ab6d063efc,CANCER TREATMENT CENTERS OF AMERICA,1331 EAST WYOMING AVENUE,PHILADELPHIA,PA,19124,2157446728,22009
6e099510-4f48-3174-a90c-8f0a832d2c87,CHILDREN'S HOSPITAL OF PHILADELPHIA,34TH ST & CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,2155903745,16794
69c66b65-96fc-3702-a7d1-ea4ba3ac3b87,ST CHRISTOPHER'S HOSPITAL FOR CHILDREN,160 EAST ERIE AVE,PHILADELPHIA,PA,19134,2154275000,14178
761839ba-d5a2-3842-946e-8d2c11e43292,SHRINERS HOSPITALS FOR CHILDREN - PHILADELPHIA,3551 N BROAD STREET,PHILADELPHIA,PA,19104,2154304000,20867
658f7ba5-00fe-3939-aa77-3941ef9cee40,QUALITY COMMUNITY HEALTH CARE,2501 WEST LEHIGH AVENUE,PHILADELPHIA,PA,19132,215-227-0300,5174
